City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Nizwa,OM,77.72,clear sky,22.9333,57.5333,Orient Apartments
3,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
6,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
11,Victoria,HK,65.25,clear sky,22.2855,114.1577,Mini Hotel Central
12,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Hilo,US,76.24,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Puerto Suarez,BO,89.13,overcast clouds,-18.95,-57.8,Hotel casa real
18,Buraydah,SA,82.54,broken clouds,26.326,43.975,Mövenpick Qassim
19,Sur,OM,82.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
22,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
25,Bredasdorp,ZA,61.47,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Todos Santos,MX,65.44,clear sky,23.45,-110.2167,Hotel California Todos Santos
28,Jacareacanga,BR,76.66,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
29,Coruripe,BR,79.95,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
30,Lazaro Cardenas,MX,80.58,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
31,Ponta Do Sol,PT,60.01,overcast clouds,32.6667,-17.1,Hotel do Campo
32,Catuday,PH,77.77,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
33,East London,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
34,La Union,PE,88.9,broken clouds,-5.4,-80.75,Los Portales
36,Sampit,ID,73.56,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
37,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
40,Makakilo City,US,78.19,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
44,Sao Filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
46,Zigong,CN,60.44,light rain,29.3416,104.7769,Shangkeyou Express Hotel In Wuxing Street
47,Kimberley,ZA,64.36,few clouds,-28.7323,24.7623,Welgewandel Guesthouse
53,Constitucion,CL,62.78,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
54,Aswan,EG,87.39,overcast clouds,24.0934,32.907,Nuba Nile
56,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
58,Morgan City,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
59,Port Elizabeth,ZA,64.31,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Beyneu,KZ,64.9,overcast clouds,45.3167,55.2,NUR
63,Cape Town,ZA,64.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
64,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Ondo,NG,74.75,overcast clouds,7.1,4.8333,Leisure Spring Hotel
67,Esperance,AU,62.44,light rain,-33.8667,121.9,Hospitality Esperance
72,Sainte-Rose,GP,82.44,few clouds,16.3324,-61.6979,Villa - Duzer
76,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
79,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Busselton,AU,62.58,broken clouds,-33.65,115.3333,Observatory Guest House
81,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
82,Arraial Do Cabo,BR,80.46,few clouds,-22.9661,-42.0278,Pousada Porto Praia
84,Oyem,GA,67.6,overcast clouds,1.5995,11.5793,Commissariat de police
87,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
88,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
89,Iberia,US,83.05,clear sky,29.9502,-91.7507,back to back rv park
94,Kapoeta,SS,85.24,overcast clouds,4.7717,33.5903,Eastgate Hotel
95,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
96,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
97,San Quintin,MX,63.66,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
98,Castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
