City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Nizwa,22.9333,57.5333,77.72,26,0,6.04,OM,clear sky
1,Poum,-20.2333,164.0167,81.99,82,100,17.81,NC,moderate rain
2,Provideniya,64.3833,-173.3,2.8,74,0,11.5,RU,clear sky
3,Mar Del Plata,-38.0023,-57.5575,75.22,64,40,21.85,AR,scattered clouds
4,Beloha,-25.1667,45.05,71.8,88,1,10.36,MG,clear sky
5,Bambous Virieux,-20.3428,57.7575,80.22,83,75,11.5,MU,broken clouds
6,Vaini,-21.2,-175.2,73.56,100,100,5.75,TO,light intensity shower rain
7,Coihaique,-45.5752,-72.0662,42.57,96,100,8.25,CL,light rain
8,Airai,-8.9266,125.4092,56.95,77,20,1.16,TL,few clouds
9,Nikolskoye,59.7035,30.7861,29.71,96,35,2.95,RU,scattered clouds
10,Tuktoyaktuk,69.4541,-133.0374,-20.2,69,20,2.3,CA,few clouds
11,Victoria,22.2855,114.1577,65.25,61,0,11.99,HK,clear sky
12,Butaritari,3.0707,172.7902,81.46,72,98,14.5,KI,overcast clouds
13,Hilo,19.7297,-155.09,76.24,93,32,1.01,US,moderate rain
14,Rudnogorsk,57.2639,103.7519,9.68,98,98,2.26,RU,overcast clouds
15,Puerto Suarez,-18.95,-57.8,89.13,46,100,5.95,BO,overcast clouds
16,Fortuna,40.5982,-124.1573,58.93,65,20,13.8,US,few clouds
17,Khatanga,71.9667,102.5,-29.15,100,99,4.09,RU,overcast clouds
18,Buraydah,26.326,43.975,82.54,9,70,6.58,SA,broken clouds
19,Sur,22.5667,59.5289,82.44,46,9,9.08,OM,clear sky
20,New Norfolk,-42.7826,147.0587,56.7,88,99,1.03,AU,overcast clouds
21,Thompson,55.7435,-97.8558,33.03,86,100,8.25,CA,overcast clouds
22,Rikitea,-23.1203,-134.9692,76.71,66,56,10.27,PF,broken clouds
23,Inuvik,68.3499,-133.7218,-7.71,90,100,6.73,CA,overcast clouds
